"X","Y"
-75.396505,40.452801
-75.625677,40.861862
-75.572805,40.944365
-75.625677,40.861862
-75.092507,40.821605
-76.887946,40.071244
-75.796342,39.915027
-75.18861,40.036013
-75.625677,40.861862
-74.897155,40.689331
-75.450555,39.959178
-74.789033,40.39212
-75.228031,40.499213
-74.937544,39.792208
-79.9134,40.4307
-80.099457,42.15868
-76.887946,40.071244
-76.820326,40.362609
-75.625677,40.861862
-76.038737,40.37825
-77.9074,40.43295
-74.910104,40.331136
-74.920728,39.762424
-75.56757,40.931659
-75.592117,39.844131
-75.043659,40.004443
-75.043659,40.004443
-78.23028,40.665
-75.625677,40.861862
-75.450555,39.959178
-75.733582,40.748333
-76.887946,40.071244
-75.200632,40.044281
-76.667272,40.006672
-77.773631,41.235936
-75.043659,40.004443
-75.445862,39.947977
-80.099457,42.15868
-75.1894,40.326142
-75.625677,40.861862
-75.043659,40.004443
-74.937544,39.792208
-74.897155,40.689331
-75.043659,40.004443
-75.043659,40.004443
-74.937544,39.792208
-75.674472,39.872693
-75.357456,39.906181
-77.854743,40.562069
-75.128277,40.122794
-74.843116,41.142815
-75.043659,40.004443
-74.766726,39.875838
-75.584564,40.907286
-75.312025,40.006833
-75.06527,40.09671
-74.773142,40.357622
-75.625677,40.861862
-75.743437,40.745982
-75.260146,39.88935
-75.609412,40.048479
-80.099457,42.15868
-75.138772,40.589402
-76.501751,42.247327
-78.529458,41.125272
-74.910104,40.331136
-75.625677,40.861862
-74.702311,41.307439
-75.15481,41.370649
-75.787905,40.207929
-74.897155,40.689331
-79.535953,39.79634
-74.750547,40.32659
-79.385383,39.941933
-76.858671,40.397509
-75.519794,40.673214
-75.445862,39.947977
-80.099457,42.15868
-76.038737,40.37825
-80.092102,42.162728
-75.61183,40.7484
-74.937544,39.792208
-80.099457,42.15868
-75.450555,39.959178
-79.271566,40.160017
-76.501751,42.247327
-75.603959,39.999105
-75.043659,40.004443
-79.020452,40.573935
-75.845833,40.02768
-75.625677,40.861862
-75.64967,40.85805
-76.61942,40.452102
-75.418138,40.023655
-79.090576,41.327069
-75.625677,40.861862
-74.910104,40.331136
-75.116499,40.59504
-79.9134,40.4307
-79.698944,39.749566
-75.043659,40.004443
-77.753685,40.731661
-77.39691,40.56978
-80.099457,42.15868
-75.625677,40.861862
-75.450555,39.959178
-75.603959,39.999105
-75.450555,39.959178
-76.274461,41.304071
-75.260146,39.88935
-75.22238,40.466933
-75.899142,41.249708
-75.043659,40.004443
-75.445862,39.947977
-75.060384,40.085761
-75.899142,41.249708
-74.937544,39.792208
-75.797682,39.993463
-77.660508,40.717395
-75.603959,39.999105
-74.937544,39.792208
-75.723181,39.932249
-75.222538,40.120622
-75.450555,39.959178
-75.41748,40.023542
-80.099457,42.15868
-76.217973,41.471609
-77.833298,41.1656
-78.730774,41.436549
-76.343307,41.319462
-79.63525,41.61316
-77.773631,41.235936
-78.722191,41.364442
-74.760838,41.214459
-79.44865,41.51942
-76.236931,41.361049
-77.097388,41.09828
-77.773631,41.235936
-79.42958,41.57713
-76.9279,41.533511
-76.868995,41.523254
-77.826698,41.156399
-78.909241,41.769112
-78.201003,41.3527
-76.274461,41.304071
-79.681059,41.514825
-79.63525,41.61316
-79.42168,41.59471
-75.55735,40.94635
-79.39881,41.54162
-79.53149,41.41323
-79.39881,41.54162
-76.207489,41.377192
-76.284181,41.31517
-76.255408,41.350604
-77.411055,41.340515
-77.437157,41.639938
-77.918098,41.1311
-77.828102,41.158901
-77.833099,41.1525
-77.773631,41.235936
-79.176483,40.118383
-76.887946,40.071244
-76.296092,41.334978
-74.74667,42.25611
-77.913902,41.1339
-75.186111,41.921111
-79.207581,41.332342
-74.760838,41.214459
-79.147908,40.150323
-77.908302,41.136902
-77.832199,41.163601
-76.284181,41.31517
-75.63474,40.97931
-77.564936,41.470962
-77.62938,41.54884
-75.880024,41.96238
-76.817967,41.96973
-79.42958,41.57713
-75.111294,41.000241
-76.607401,40.446541
-77.773631,41.235936
-78.918915,41.54302
-76.42102,41.412116
-78.848818,41.756296
-75.186111,41.921111
-77.753685,40.731661
-75.66409,40.97664
-79.147908,40.150323
-75.664709,40.409213
-75.939463,42.032165
-74.774419,40.412241
-75.120555,40.96905
-74.726601,42.267147
-74.953451,40.655834
-75.554352,40.909361
-74.953451,40.655834
-75.043659,40.004443
-77.064843,40.302407
-75.120555,40.96905
-74.964312,41.058346
-75.450555,39.959178
-74.954457,40.183895
-75.260146,39.88935
-75.260146,39.88935
-75.721722,39.820601
-74.863385,41.122037
-76.529388,40.496309
-75.274469,40.192886
-74.773142,40.357622
-75.603959,39.999105
-76.30151,40.091677
-74.774419,40.412241
-75.603959,39.999105
-75.043659,40.004443
-74.786178,39.885899
-77.08286,42.116154
-75.1894,40.326142
-74.953451,40.655834
-75.603959,39.999105
-75.029315,40.566014
-74.973794,40.231898
-75.043659,40.004443
-74.780543,40.317518
