"X","Y"
-76.650667,39.80847
-79.906225,40.543479
-75.043659,40.004443
-75.603959,39.999105
-75.603959,39.999105
-75.716122,40.056667
-75.450555,39.959178
-75.721722,39.820601
-75.982094,40.633503
-74.973794,40.231898
-75.603959,39.999105
-75.603959,39.999105
-74.910104,40.331136
-80.099457,42.15868
-75.847356,40.029849
-74.86073,40.114727
-74.863385,41.122037
-76.887946,40.071244
-74.773142,40.357622
-77.015104,40.30496
-75.847356,40.029849
-79.906225,40.543479
-75.450555,39.959178
-75.043659,40.004443
-75.944376,41.116873
-76.86584,42.050858
-75.1894,40.326142
-75.721722,39.820601
-76.909635,42.145121
-75.993539,40.896831
-75.991809,40.641031
-77.078876,40.322794
-75.043659,40.004443
-75.603959,39.999105
-75.721722,39.820601
-76.859779,42.202267
-74.953451,40.655834
-76.721413,40.312413
-74.780543,40.317518
-75.506544,40.36988
-75.603959,39.999105
-74.973794,40.231898
-75.968206,42.081821
-74.773142,40.357622
-79.020452,40.573935
-75.043659,40.004443
-74.764654,40.342926
-79.906225,40.543479
-75.603959,39.999105
-74.782136,41.083202
-79.906225,40.543479
-74.764654,40.342926
-77.08286,42.116154
-76.858671,40.397509
-77.064843,40.302407
-75.043659,40.004443
-79.906225,40.543479
-75.043659,40.004443
-75.603959,39.999105
-76.67779,40.210106
-74.801379,40.419656
-75.506454,40.154865
-76.334596,40.22514
-75.603959,39.999105
-76.887946,40.071244
-74.71874,41.57183
-75.709147,40.043123
-79.415381,41.093681
-75.603959,39.999105
-75.6069,39.82487
-75.90422,40.34023
-75.90422,40.34023
-75.767233,39.7263
-79.906225,40.543479
-75.603959,39.999105
-74.910104,40.331136
-74.934558,40.510952
-75.796342,39.915027
-75.450555,39.959178
-75.603959,39.999105
-74.992196,40.422086
-75.11981,40.032753
-78.060147,40.90193
-75.043659,40.004443
-74.783224,40.340881
-75.346886,39.900971
-75.043659,40.004443
-75.603959,39.999105
-75.603959,39.999105
-75.603959,39.999105
-75.603959,39.999105
-74.801379,40.419656
-75.043659,40.004443
-74.75662,40.677351
-75.659668,39.797073
-75.721722,39.820601
-75.043659,40.004443
-75.152315,39.749074
-74.992196,40.422086
-74.928069,40.650719
-75.982189,40.645037
-75.603959,39.999105
-74.758737,40.327395
-75.043659,40.004443
-76.11044,39.870182
-74.863385,41.122037
-75.1894,40.326142
-75.982189,40.645037
-74.782136,41.083202
-74.904364,40.224254
-75.603959,39.999105
-79.020452,40.573935
-74.750547,40.32659
-76.650667,39.80847
-75.09402,40.06091
-79.906225,40.543479
-75.982189,40.645037
-74.910104,40.331136
